Name,Value,Change,Volume,High,Low
EPEN-EPE CAPITAL PARTNERS LTD NPL,9,0%,0,0,0
EPP-EPP N.V.,"1,245", 0.08%,484.27K,1.25K,1.20K
EQU-EQUITES PROP FUND LTD,"2,020", 0.25%,454.51K,2.02K,2.01K
ERN-ERIN ENERGY CORPORATION,"3,000",0%,0,0,0
ETO-ETION LIMITED,47, 2.17%,170.77K,47,47
EUZ-EUROPA METALS LIMITED,180, -5.26%,21.21K,193,176
EXP-EXEMPLAR REITAIL LTD,960,0%,0,0,0
EXX-EXXARO RESOURCES LTD,"18,224", -1.34%,437.19K,18.56K,18.14K
FVT-FAIRVEST PROPERTY HLDGS,183, 1.67%,31.45K,183,180
FBR-FAMOUS BRANDS LTD,"5,800", 1.31%,54.99K,5.87K,5.70K
FGL-FINBOND GROUP LTD,111, -6.72%,44.37K,119,110
FSE-FIRESTONE ENERGY LIMITED,6,0%,0,0,0
FSR-FIRSTRAND LTD,"6,072", -0.54%,12.42M,6.10K,5.99K
FFA-FORTRESS REIT LTD A,"1,550", 0.26%,2.80M,1.56K,1.53K
FFB-FORTRESS REIT LTD B,265, -1.85%,6.01M,270,263
GAI-GAIA INFRASTRUCT CAP LTD,640, 0.01%,20K,510,510
GML-GEMFIELDS GROUP LIMITED,275, 10%,3.08M,275,245
GLN-GLENCORE PLC,"6,664", -0.12%,2.36M,6.72K,6.65K
GTC-GLOBE TRADE CENTRE S.A.,"2,599",0%,0,0,0
GLI-GO LIFE INTERNATIONAL LD,1,0%,0,0,0
GFI-GOLD FIELDS LTD,"12,952", -2.39%,5.89M,13.38K,12.91K
GPL-GRAND PARADE INV LTD,295, 1.72%,1.11K,295,285
GND-GRINDROD LTD,490, -0.61%,465.99K,502,490
GSH-GRINDROD SHIPPING HLDG LTD,"25,900", 7.02%,108.07K,27.50K,24.40K
GRT-GROWTHPOINT PROP LTD,"1,467", -1.28%,4.60M,1.49K,1.46K
HMN-HAMMERSON PLC,690, 0.15%,291.12K,694,681
HAR-HARMONY GM CO LTD,"4,685", -3.4%,3.84M,4.98K,4.69K
HET-HERIOT REIT LIMITED,"1,150",0%,0,0,0
HIL-HOMECHOICE INT PLC,"2,644", -0.41%,1.67K,2.64K,2.64K
HCI-HOSKEN CONS INV LTD,"6,550", 1.49%,6.85K,6.80K,6.40K
HPR-HOSKEN PAX LOG AND RAIL,430, 7.5%,6.45K,430,430
